銘柄コード,会社名,優先市場,業種
1301,極洋,東証1,水産・農林業
1332,日本水産,東証1,水産・農林業
1333,マルハニチロ,東証1,水産・農林業
1352,ホウスイ,東証1,卸売業
1376,カネコ種苗,東証1,水産・農林業
1377,サカタのタネ,東証1,水産・農林業
1379,ホクト,東証1,水産・農林業
1380,秋川牧園,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1381,アクシーズ,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1382,ホーブ,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1383,ベルグアース,ｼﾞｬｽﾀﾞｯｸ,水産・農林業
1384,ホクリヨウ,東証1,水産・農林業
1400,ルーデン･HD,東証JQG,建設業
1401,エムビーエス,マザーズ,建設業
1407,ウエストHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1413,ヒノキヤG,東証1,建設業
1414,ショーボンドHD,東証1,建設業
1417,ミライト･HD,東証1,建設業
1418,インターライフHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1419,タマホーム,東証1,建設業
1420,サンヨーホームズ,東証1,建設業
1429,日本アクア,東証1,建設業
1430,ファーストコーポレーション,東証1,建設業
1433,ベステラ,東証1,建設業
1434,JESCOHD,東証2,建設業
1435,TATERU,東証1,建設業
1436,フィット,マザーズ,建設業
1439,安江工務店,ｼﾞｬｽﾀﾞｯｸ,建設業
1443,技研HD,東証2,建設業
1446,キャンディル,東証1,建設業
1447,ITbookHD,マザーズ,建設業
1448,スペースバリューHD,東証1,建設業
1450,田中建設工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1451,KHC,東証2,建設業
1491,中外鉱業,東証2,非鉄金属
1514,住石HD,東証1,鉱業
1515,日鉄鉱業,東証1,鉱業
1518,三井松島HD,東証1,鉱業
1605,国際石油開発帝石,東証1,鉱業
1662,石油資源開発,東証1,鉱業
1663,K&OエナジーG,東証1,鉱業
1711,省電舎HD,東証2,建設業
1712,ダイセキ環境ソリューション,東証1,建設業
1716,第一カッター興業,東証1,建設業
1717,明豊ファシリティワークス,東証1,建設業
1718,美樹工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1719,安藤･間,東証1,建設業
1720,東急建設,東証1,建設業
1721,コムシスHD,東証1,建設業
1723,日本電技,ｼﾞｬｽﾀﾞｯｸ,建設業
1724,シンクレイヤ,ｼﾞｬｽﾀﾞｯｸ,建設業
1726,ビーアールHD,東証1,建設業
1728,ミサワホーム中国,ｼﾞｬｽﾀﾞｯｸ,建設業
1730,麻生フオームクリート,ｼﾞｬｽﾀﾞｯｸ,建設業
1736,オーテック,ｼﾞｬｽﾀﾞｯｸ,建設業
1737,三井金属エンジニアリング,東証2,建設業
1739,シード平和,東証JQG,建設業
1743,コーアツ工業,東証2,建設業
1757,クレアHD,東証2,建設業
1758,太洋基礎工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1762,高松コンストラクションG,東証1,建設業
1764,工藤建設,東証2,建設業
1766,東建コーポレーション,東証1,建設業
1768,ソネック,東証1,建設業
1770,藤田エンジニアリング,ｼﾞｬｽﾀﾞｯｸ,建設業
1775,富士古河E&C,東証2,建設業
1776,三井住建道路,東証2,建設業
1780,ヤマウラ,東証1,建設業
1782,常磐開発,ｼﾞｬｽﾀﾞｯｸ,建設業
1783,アジアゲートHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1787,ナカボーテック,ｼﾞｬｽﾀﾞｯｸ,建設業
1788,三東工業社,ｼﾞｬｽﾀﾞｯｸ,建設業
1789,ETSHD,ｼﾞｬｽﾀﾞｯｸ,建設業
1793,大本組,ｼﾞｬｽﾀﾞｯｸ,建設業
1795,マサル,ｼﾞｬｽﾀﾞｯｸ,建設業
1798,守谷商会,ｼﾞｬｽﾀﾞｯｸ,建設業
1799,第一建設工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1801,大成建設,東証1,建設業
1802,大林組,東証1,建設業
1803,清水建設,東証1,建設業
1805,飛島建設,東証1,建設業
1807,佐藤渡辺,ｼﾞｬｽﾀﾞｯｸ,建設業
1808,長谷工コーポレーション,東証1,建設業
1810,松井建設,東証1,建設業
1811,錢高組,東証1,建設業
1812,鹿島建設,東証1,建設業
1813,不動テトラ,東証1,建設業
1814,大末建設,東証1,建設業
1815,鉄建建設,東証1,建設業
1820,西松建設,東証1,建設業
1821,三井住友建設,東証1,建設業
1822,大豊建設,東証1,建設業
1824,前田建設工業,東証1,建設業
1826,佐田建設,東証1,建設業
1827,ナカノフドー建設,東証1,建設業
1828,田辺工業,東証2,建設業
1833,奥村組,東証1,建設業
1835,東鉄工業,東証1,建設業
1840,土屋HD,東証2,建設業
1841,サンユー建設,ｼﾞｬｽﾀﾞｯｸ,建設業
1844,大盛工業,東証2,建設業
1847,イチケン,東証1,建設業
1848,富士ピー･エス,東証1,建設業
1850,南海辰村建設,東証2,建設業
1852,淺沼組,東証1,建設業
1853,森組,東証2,建設業
1860,戸田建設,東証1,建設業
1861,熊谷組,東証1,建設業
1866,北野建設,東証1,建設業
1867,植木組,東証1,建設業
1870,矢作建設工業,東証1,建設業
1871,ピーエス三菱,東証1,建設業
1873,日本ハウスHD,東証1,建設業
1878,大東建託,東証1,建設業
1879,新日本建設,東証1,建設業
1881,NIPPO,東証1,建設業
1882,東亜道路工業,東証1,建設業
1883,前田道路,東証1,建設業
1884,日本道路,東証1,建設業
1885,東亜建設工業,東証1,建設業
1887,日本国土開発,東証1,建設業
1888,若築建設,東証1,建設業
1890,東洋建設,東証1,建設業
1893,五洋建設,東証1,建設業
1897,金下建設,東証2,建設業
1898,世紀東急工業,東証1,建設業
1899,福田組,東証1,建設業
1904,大成温調,ｼﾞｬｽﾀﾞｯｸ,建設業
1905,テノックス,ｼﾞｬｽﾀﾞｯｸ,建設業
1909,日本ドライケミカル,東証1,機械
1911,住友林業,東証1,建設業
1914,日本基礎技術,東証1,建設業
1921,巴コーポレーション,東証1,建設業
1925,大和ハウス工業,東証1,建設業
1926,ライト工業,東証1,建設業
1928,積水ハウス,東証1,建設業
1929,日特建設,東証1,建設業
1930,北陸電気工事,東証1,建設業
1934,ユアテック,東証1,建設業
1938,日本リーテック,東証1,建設業
1939,四電工,東証1,建設業
1941,中電工,東証1,建設業
1942,関電工,東証1,建設業
1944,きんでん,東証1,建設業
1945,東京エネシス,東証1,建設業
1946,トーエネック,東証1,建設業
1948,弘電社,東証2,建設業
1949,住友電設,東証1,建設業
1950,日本電設工業,東証1,建設業
1951,協和エクシオ,東証1,建設業
1952,新日本空調,東証1,建設業
1954,日本工営,東証1,サービス業
1959,九電工,東証1,建設業
1960,サンテック,東証2,建設業
1961,三機工業,東証1,建設業
1963,日揮HD,東証1,建設業
1964,中外炉工業,東証1,建設業
1965,テクノ菱和,東証2,建設業
1966,高田工業所,東証2,建設業
1967,ヤマト,東証1,建設業
1968,太平電業,東証1,建設業
1969,高砂熱学工業,東証1,建設業
1971,中央ビルト工業,東証2,金属製品
1972,三晃金属工業,東証1,建設業
1973,NECネッツエスアイ,東証1,情報・通信業
1975,朝日工業社,東証1,建設業
1976,明星工業,東証1,建設業
1979,大氣社,東証1,建設業
1980,ダイダン,東証1,建設業
1981,協和日成,ｼﾞｬｽﾀﾞｯｸ,建設業
1982,日比谷総合設備,東証1,建設業
1992,神田通信機,ｼﾞｬｽﾀﾞｯｸ,建設業
1994,高橋カーテンウォール工業,ｼﾞｬｽﾀﾞｯｸ,建設業
1997,暁飯島工業,ｼﾞｬｽﾀﾞｯｸ,建設業
2001,日本製粉,東証1,食料品
2002,日清製粉G本社,東証1,食料品
2003,日東富士製粉,東証1,食料品
2004,昭和産業,東証1,食料品
2009,鳥越製粉,東証1,食料品
2053,中部飼料,東証1,食料品
2055,日和産業,東証2,食料品
2060,フィード･ワン,東証1,食料品
2107,東洋精糖,東証1,食料品
2108,日本甜菜製糖,東証1,食料品
2109,三井製糖,東証1,食料品
2112,塩水港精糖,東証1,食料品
2114,フジ日本精糖,東証2,食料品
2117,日新製糖,東証1,食料品
2121,ミクシィ,マザーズ,サービス業
2122,インタースペース,マザーズ,サービス業
2124,ジェイエイシーリクルートメント,東証1,サービス業
2127,日本M&Aセンター,東証1,サービス業
2130,メンバーズ,東証1,サービス業
2134,燦キャピタルマネージメント,ｼﾞｬｽﾀﾞｯｸ,サービス業
2136,ヒップ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2138,クルーズ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2139,中広,東証1,サービス業
2146,UTG,東証1,サービス業
2148,アイティメディア,東証1,サービス業
2150,ケアネット,マザーズ,サービス業
2151,タケエイ,東証1,サービス業
2152,幼児活動研究会,ｼﾞｬｽﾀﾞｯｸ,サービス業
2153,E･JHD,東証1,サービス業
2154,トラスト･テック,東証1,サービス業
2156,セーラー広告,ｼﾞｬｽﾀﾞｯｸ,サービス業
2157,コシダカHD,東証1,サービス業
2158,FRONTEO,マザーズ,サービス業
2159,フルスピード,東証2,サービス業
2160,ジーエヌアイG,マザーズ,医薬品
2162,nms HD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2163,アルトナー,東証1,サービス業
2164,地域新聞社,東証JQG,サービス業
2168,パソナG,東証1,サービス業
2169,CDS,東証1,サービス業
2170,リンクアンドモチベーション,東証1,サービス業
2173,博展,東証JQG,サービス業
2174,GCA,東証1,サービス業
2175,エス･エム･エス,東証1,サービス業
2176,イナリサーチ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2178,トライステージ,マザーズ,サービス業
2179,成学社,ｼﾞｬｽﾀﾞｯｸ,サービス業
2180,サニーサイドアップ,東証1,サービス業
2181,パーソルHD,東証1,サービス業
2183,リニカル,東証1,サービス業
2185,シイエム･シイ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2186,ソーバル,ｼﾞｬｽﾀﾞｯｸ,サービス業
2191,テラ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2193,クックパッド,東証1,サービス業
2195,アミタHD,東証JQG,サービス業
2198,アイ･ケイ･ケイ,東証1,サービス業
2201,森永製菓,東証1,食料品
2204,中村屋,東証1,食料品
2206,江崎グリコ,東証1,食料品
2207,名糖産業,東証1,食料品
2208,ブルボン,東証2,食料品
2209,井村屋G,東証1,食料品
2211,不二家,東証1,食料品
2212,山崎製パン,東証1,食料品
2215,第一屋製パン,東証1,食料品
2216,カンロ,東証2,食料品
2217,モロゾフ,東証1,食料品
2220,亀田製菓,東証1,食料品
2221,岩塚製菓,ｼﾞｬｽﾀﾞｯｸ,食料品
2222,寿スピリッツ,東証1,食料品
2224,コモ,ｼﾞｬｽﾀﾞｯｸ,食料品
2226,湖池屋,ｼﾞｬｽﾀﾞｯｸ,食料品
2229,カルビー,東証1,食料品
2264,森永乳業,東証1,食料品
2266,六甲バター,東証1,食料品
2267,ヤクルト本社,東証1,食料品
2268,B-R サーティワン アイスクリーム,ｼﾞｬｽﾀﾞｯｸ,食料品
2269,明治HD,東証1,食料品
2270,雪印メグミルク,東証1,食料品
2281,プリマハム,東証1,食料品
2282,日本ハム,東証1,食料品
2286,林兼産業,東証1,食料品
2288,丸大食品,東証1,食料品
2291,福留ハム,東証2,食料品
2292,S Foods,東証1,食料品
2293,滝沢ハム,ｼﾞｬｽﾀﾞｯｸ,食料品
2294,柿安本店,東証1,食料品
2296,伊藤ハム米久HD,東証1,食料品
2300,きょくとう,ｼﾞｬｽﾀﾞｯｸ,サービス業
2301,学情,東証1,サービス業
2303,ドーン,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2304,CSSHD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2305,スタジオアリス,東証1,サービス業
2307,クロスキャット,東証1,情報・通信業
2309,シミックHD,東証1,サービス業
2311,エプコ,東証1,サービス業
2315,カイカ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2317,システナ,東証1,情報・通信業
2321,ソフトフロントHD,東証JQG,情報・通信業
2323,fonfun,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2325,NJS,東証1,サービス業
2326,デジタルアーツ,東証1,情報・通信業
2327,日鉄ソリューションズ,東証1,情報・通信業
2329,東北新社,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2330,フォーサイド,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2331,綜合警備保障,東証1,サービス業
2332,クエスト,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2334,イオレ,マザーズ,サービス業
2335,キューブシステム,東証1,情報・通信業
2337,いちご,東証1,不動産業
2338,ビットワンG,東証2,情報・通信業
2340,極楽湯HD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2341,アルバイトタイムス,ｼﾞｬｽﾀﾞｯｸ,サービス業
2342,トランスジェニック,マザーズ,サービス業
2344,平安レイサービス,ｼﾞｬｽﾀﾞｯｸ,サービス業
2345,アイスタディ,東証2,情報・通信業
2349,エヌアイデイ,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2351,ASJ,マザーズ,情報・通信業
2352,エイジア,東証1,情報・通信業
2353,日本駐車場開発,東証1,不動産業
2354,YE DIGITAL,東証2,情報・通信業
2359,コア,東証1,情報・通信業
2362,夢真HD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2370,メディネット,マザーズ,サービス業
2371,カカクコム,東証1,サービス業
2372,アイロムG,東証1,サービス業
2373,ケア21,ｼﾞｬｽﾀﾞｯｸ,サービス業
2374,セントケア･ホールディング,東証1,サービス業
2375,ギグワークス,東証2,サービス業
2376,サイネックス,東証1,サービス業
2378,ルネサンス,東証1,サービス業
2379,ディップ,東証1,サービス業
2384,SBSHD,東証1,陸運業
2385,総医研HD,マザーズ,サービス業
2388,ウェッジHD,東証JQG,その他金融業
2389,オプトホールディング,東証1,サービス業
2391,プラネット,ｼﾞｬｽﾀﾞｯｸ,サービス業
2393,日本ケアサプライ,東証2,サービス業
2395,新日本科学,東証1,サービス業
2397,DNAチップ研究所,東証2,サービス業
2398,ツクイ,東証1,サービス業
2402,アマナ,マザーズ,サービス業
2404,鉄人化計画,東証2,サービス業
2406,アルテ サロン HD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2408,KG情報,ｼﾞｬｽﾀﾞｯｸ,サービス業
2410,キャリアデザインセンター,東証1,サービス業
2411,ゲンダイエージェンシー,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2412,ベネフィット･ワン,東証1,サービス業
2413,エムスリー,東証1,サービス業
2415,ヒューマンHD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2417,ツヴァイ,東証2,サービス業
2418,ツカダ･グローバルホールディング,東証1,サービス業
2424,ブラス,東証1,サービス業
2425,ケアサービス,東証JQG,サービス業
2427,アウトソーシング,東証1,サービス業
2428,ウェルネット,東証1,サービス業
2429,ワールドHD,東証1,サービス業
2432,ディー･エヌ･エー,東証1,サービス業
2433,博報堂DYHD,東証1,サービス業
2435,シダー,ｼﾞｬｽﾀﾞｯｸ,サービス業
2436,共同ピーアール,ｼﾞｬｽﾀﾞｯｸ,サービス業
2437,Shinwa Wise Holdings,ｼﾞｬｽﾀﾞｯｸ,サービス業
2438,アスカネット,マザーズ,サービス業
2440,ぐるなび,東証1,サービス業
2445,タカミヤ,東証1,サービス業
2449,プラップジャパン,ｼﾞｬｽﾀﾞｯｸ,サービス業
2453,ジャパンベストレスキューシステム,東証1,サービス業
2454,オールアバウト,ｼﾞｬｽﾀﾞｯｸ,サービス業
2459,アウンコンサルティング,東証2,サービス業
2461,ファンコミュニケーションズ,東証1,サービス業
2462,ライク,東証1,サービス業
2464,ビジネス･ブレークスルー,東証1,サービス業
2468,フュートレック,東証2,サービス業
2469,ヒビノ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2471,エスプール,東証1,サービス業
2475,WDBHD,東証1,サービス業
2477,手間いらず,東証1,サービス業
2479,ジェイテック,東証JQG,サービス業
2480,システム･ロケーション,ｼﾞｬｽﾀﾞｯｸ,サービス業
2481,タウンニュース社,ｼﾞｬｽﾀﾞｯｸ,サービス業
2483,翻訳センター,ｼﾞｬｽﾀﾞｯｸ,サービス業
2484,夢の街創造委員会,ｼﾞｬｽﾀﾞｯｸ,情報・通信業
2485,ティア,東証1,サービス業
2487,CDG,東証1,サービス業
2488,日本サード･パーティ,ｼﾞｬｽﾀﾞｯｸ,サービス業
2489,アドウェイズ,マザーズ,サービス業
2491,バリューコマース,東証1,サービス業
2492,インフォマート,東証1,サービス業
2493,イーサポートリンク,ｼﾞｬｽﾀﾞｯｸ,サービス業
2497,ユナイテッド,マザーズ,サービス業
2498,オリエンタルコンサルタンツHD,ｼﾞｬｽﾀﾞｯｸ,サービス業
2499,日本和装HD,東証2,サービス業
2501,サッポロHD,東証1,食料品
2502,アサヒGHD,東証1,食料品
2503,キリンHD,東証1,食料品
2531,宝HD,東証1,食料品
2533,オエノンHD,東証1,食料品
2540,養命酒製造,東証1,食料品
2573,北海道コカ･コーラボトリング,東証2,食料品
2579,コカ･コーラ ボトラーズジャパンHD,東証1,食料品
2586,フルッタフルッタ,マザーズ,食料品
2587,サントリー食品インターナショナル,東証1,食料品
2588,プレミアムウォーターHD,東証2,食料品
2590,ダイドーGHD,東証1,食料品
2593,伊藤園,東証1,食料品
2594,キーコーヒー,東証1,食料品
2597,ユニカフェ,東証1,食料品
2599,ジャパンフーズ,東証1,食料品
2602,日清オイリオG,東証1,食料品
2607,不二製油G本社,東証1,食料品
2608,ボーソー油脂,東証2,食料品
2612,かどや製油,東証1,食料品
2613,J-オイルミルズ,東証1,食料品
2651,ローソン,東証1,小売業
2652,まんだらけ,東証2,小売業
2653,イオン九州,ｼﾞｬｽﾀﾞｯｸ,小売業
2654,アスモ,東証2,小売業
2656,ベクター,ｼﾞｬｽﾀﾞｯｸ,小売業
2659,サンエー,東証1,小売業
2664,カワチ薬品,東証1,小売業
2666,オートウェーブ,ｼﾞｬｽﾀﾞｯｸ,小売業
2667,イメージ ワン,ｼﾞｬｽﾀﾞｯｸ,卸売業
2668,タビオ,東証2,卸売業
2669,カネ美食品,ｼﾞｬｽﾀﾞｯｸ,小売業
2670,エービーシー･マート,東証1,小売業
2673,夢みつけ隊,ｼﾞｬｽﾀﾞｯｸ,小売業
2674,ハードオフコーポレーション,東証1,小売業
2675,ダイナックHD,東証2,小売業
2676,高千穂交易,東証1,卸売業
2678,アスクル,東証1,小売業
2681,ゲオHD,東証1,小売業
2683,魚喜,東証2,小売業
2685,アダストリア,東証1,小売業
2686,ジーフット,東証1,小売業
2687,シー･ヴイ･エス･ベイエリア,東証1,小売業
2689,カワニシHD,東証1,卸売業
2692,伊藤忠食品,東証1,卸売業
2693,YKT,ｼﾞｬｽﾀﾞｯｸ,卸売業
2694,ジー･テイスト,ｼﾞｬｽﾀﾞｯｸ,小売業
2695,くら寿司,東証1,小売業
2698,キャンドゥ,東証1,小売業
2702,日本マクドナルドHD,ｼﾞｬｽﾀﾞｯｸ,小売業
2705,大戸屋HD,ｼﾞｬｽﾀﾞｯｸ,小売業
2706,ブロッコリー,ｼﾞｬｽﾀﾞｯｸ,その他製品
2708,久世,ｼﾞｬｽﾀﾞｯｸ,卸売業
2714,プラマテルズ,ｼﾞｬｽﾀﾞｯｸ,卸売業
2715,エレマテック,東証1,卸売業
2721,ジェイHD,ｼﾞｬｽﾀﾞｯｸ,卸売業
2722,アイケイ,東証2,小売業
2726,パルGHD,東証1,小売業
2729,JALUX,東証1,卸売業
2730,エディオン,東証1,小売業
2733,あらた,東証1,卸売業
2734,サーラコーポレーション,東証1,小売業
2735,ワッツ,東証1,小売業
2736,フェスタリアHD,ｼﾞｬｽﾀﾞｯｸ,小売業
2737,トーメンデバイス,東証1,卸売業
2742,ハローズ,東証1,小売業
2743,ピクセルカンパニーズ,ｼﾞｬｽﾀﾞｯｸ,卸売業
2747,北雄ラッキー,ｼﾞｬｽﾀﾞｯｸ,小売業
2749,JPHD,東証1,サービス業
2750,石光商事,ｼﾞｬｽﾀﾞｯｸ,卸売業
2751,テンポスHD,ｼﾞｬｽﾀﾞｯｸ,卸売業
2752,フジオフードシステム,東証1,小売業
2753,あみやき亭,東証1,小売業
2754,東葛HD,ｼﾞｬｽﾀﾞｯｸ,小売業
2760,東京エレクトロン デバイス,東証1,卸売業
2761,トシン･G,ｼﾞｬｽﾀﾞｯｸ,卸売業
2762,三光マーケティングフーズ,東証2,小売業
2763,エフティG,ｼﾞｬｽﾀﾞｯｸ,卸売業
2764,ひらまつ,東証1,小売業
2767,フィールズ,東証1,卸売業
2768,双日,東証1,卸売業
2769,ヴィレッジヴァンガードコーポレーション,ｼﾞｬｽﾀﾞｯｸ,小売業
2773,ミューチュアル,ｼﾞｬｽﾀﾞｯｸ,機械
2776,新都HD,ｼﾞｬｽﾀﾞｯｸ,卸売業
2777,カッシーナ･イクスシー,ｼﾞｬｽﾀﾞｯｸ,卸売業
2778,パレモ･HD,東証2,小売業
2780,コメ兵,東証2,小売業
2782,セリア,ｼﾞｬｽﾀﾞｯｸ,小売業
2784,アルフレッサ HD,東証1,卸売業
2788,アップルインターナショナル,東証2,卸売業
2789,カルラ,ｼﾞｬｽﾀﾞｯｸ,小売業
2790,ナフコ,ｼﾞｬｽﾀﾞｯｸ,小売業
2791,大黒天物産,東証1,小売業
2792,ハニーズHD,東証1,小売業
2795,日本プリメックス,ｼﾞｬｽﾀﾞｯｸ,卸売業
2796,ファーマライズHD,東証1,小売業
2798,ワイズテーブルコーポレーション,東証2,小売業
2801,キッコーマン,東証1,食料品
2802,味の素,東証1,食料品
2804,ブルドックソース,東証2,食料品
2805,ヱスビー食品,東証2,食料品
2806,ユタカフーズ,東証2,食料品
2809,キユーピー,東証1,食料品
2810,ハウス食品G本社,東証1,食料品
2811,カゴメ,東証1,食料品
2812,焼津水産化学工業,東証1,食料品
2813,和弘食品,ｼﾞｬｽﾀﾞｯｸ,食料品
2814,佐藤食品工業,ｼﾞｬｽﾀﾞｯｸ,食料品
2815,アリアケジャパン,東証1,食料品
2816,ダイショー,東証2,食料品
2818,ピエトロ,東証1,食料品
2819,エバラ食品工業,東証1,食料品
2820,やまみ,東証1,食料品
2830,アヲハタ,東証2,食料品
2831,はごろもフーズ,東証2,食料品
2871,ニチレイ,東証1,食料品
2872,セイヒョー,東証2,食料品
2874,横浜冷凍,東証1,卸売業
2875,東洋水産,東証1,食料品
2876,ジェーシー･コムサ,ｼﾞｬｽﾀﾞｯｸ,食料品
2877,日東ベスト,ｼﾞｬｽﾀﾞｯｸ,食料品
2882,イートアンド,東証1,食料品
2883,大冷,東証1,食料品
2884,ヨシムラ･フード･HD,東証1,食料品
2892,日本食品化工,東証2,食料品
2894,石井食品,東証2,食料品
2897,日清食品HD,東証1,食料品
2899,永谷園HD,東証1,食料品
2901,石垣食品,ｼﾞｬｽﾀﾞｯｸ,食料品
2903,シノブフーズ,東証2,食料品
2904,一正蒲鉾,東証1,食料品
2905,オーケー食品工業,ｼﾞｬｽﾀﾞｯｸ,食料品
2907,あじかん,東証2,食料品
2908,フジッコ,東証1,食料品
2910,ロック･フィールド,東証1,食料品
2911,旭松食品,東証2,食料品
2914,日本たばこ産業,東証1,食料品
2915,ケンコーマヨネーズ,東証1,食料品
2916,仙波糖化工業,ｼﾞｬｽﾀﾞｯｸ,食料品
2917,大森屋,ｼﾞｬｽﾀﾞｯｸ,食料品
2918,わらべや日洋HD,東証1,食料品
2922,なとり,東証1,食料品
2923,サトウ食品工業,東証2,食料品
2924,イフジ産業,東証1,食料品
2925,ピックルスコーポレーション,東証1,食料品
2926,篠崎屋,東証2,食料品
2927,AFC-HDアムスライフサイエンス,ｼﾞｬｽﾀﾞｯｸ,食料品
2929,ファーマフーズ,東証2,食料品
2930,北の達人コーポレーション,東証1,食料品
2931,ユーグレナ,東証1,食料品
2970,グッドライフカンパニー,ｼﾞｬｽﾀﾞｯｸ,不動産業
2975,スター･マイカ･HD,東証1,不動産業
2978,ツクルバ,マザーズ,不動産業
2980,SREHD,マザーズ,不動産業
2981,ランディックス,マザーズ,不動産業
3001,片倉工業,東証1,繊維製品
3002,グンゼ,東証1,繊維製品
3003,ヒューリック,東証1,不動産業
3004,神栄,東証1,卸売業
3010,価値開発,東証2,サービス業
